file,start,end,speaker,gender,age,birth_year,prompt,emotion,duration,angry_ac,happy_ac,neutral_ac,sad_ac,scared_ac,emotion_ac
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_rf.wav,0 days 00:00:55.842000,0 days 00:00:59.198000,M_26,male,34,1991,rf,unknown,3.356,-1.449,1.176,2.854,-2.724,-1.249,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:17.922000,0 days 00:00:21.054000,M_26,male,34,1991,ri,unknown,3.132,-1.156,1.417,3.416,-3.237,-1.848,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:23.330000,0 days 00:00:25.470000,M_26,male,34,1991,ri,unknown,2.14,-2.362,0.379,0.587,-1.537,1.403,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:26.018000,0 days 00:00:31.326000,M_26,male,34,1991,ri,unknown,5.308,-2.750,1.143,1.137,-2.494,1.166,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:31.682000,0 days 00:00:35.230000,M_26,male,34,1991,ri,unknown,3.548,-2.642,0.309,1.835,-1.221,0.355,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:38.146000,0 days 00:00:40.318000,M_26,male,34,1991,ri,unknown,2.172,-0.804,1.809,1.747,-4.147,-0.387,happy
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:40.802000,0 days 00:00:43.006000,M_26,male,34,1991,ri,unknown,2.204,-3.028,0.618,1.453,-1.578,0.959,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_ri.wav,0 days 00:00:43.202000,0 days 00:00:47.294000,M_26,male,34,1991,ri,unknown,4.092,-2.165,1.418,0.694,-3.180,1.304,happy
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:00:07.490000,0 days 00:00:10.078000,M_26,male,34,1991,sc,unknown,2.588,-5.271,-3.073,4.035,5.339,-0.940,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:00:11.618000,0 days 00:00:14.302000,M_26,male,34,1991,sc,unknown,2.684,-4.909,-1.297,2.021,2.205,1.042,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:00:41.026000,0 days 00:00:43.870000,M_26,male,34,1991,sc,unknown,2.844,-2.642,0.157,2.473,-0.971,-0.220,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:00:49.442000,0 days 00:00:51.934000,M_26,male,34,1991,sc,unknown,2.492,-2.629,0.465,3.166,-1.114,-1.039,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:00:52.610000,0 days 00:00:54.718000,M_26,male,34,1991,sc,unknown,2.108,-4.577,-2.104,3.729,3.445,-0.781,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:01:00.066000,0 days 00:01:02.974000,M_26,male,34,1991,sc,unknown,2.908,-2.393,1.380,0.025,-2.970,1.962,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sc.wav,0 days 00:01:06.754000,0 days 00:01:08.766000,M_26,male,34,1991,sc,unknown,2.012,-4.250,-0.714,3.879,0.821,-0.637,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:03.586000,0 days 00:00:08.830000,M_26,male,34,1991,sp,unknown,5.244,-5.583,-1.628,2.814,2.993,0.626,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:10.178000,0 days 00:00:12.766000,M_26,male,34,1991,sp,unknown,2.588,-5.671,-2.008,3.390,3.661,0.097,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:12.898000,0 days 00:00:17.342000,M_26,male,34,1991,sp,unknown,4.444,-5.548,-2.123,1.468,3.727,1.727,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:23.618000,0 days 00:00:27.486000,M_26,male,34,1991,sp,unknown,3.868,-3.825,-1.058,3.718,1.667,-1.065,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:30.850000,0 days 00:00:40.254000,M_26,male,34,1991,sp,unknown,9.404,-4.193,-1.051,2.629,1.720,0.100,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:48.994000,0 days 00:00:52.542000,M_26,male,34,1991,sp,unknown,3.548,-3.872,-1.499,2.417,2.238,0.066,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:00:58.082000,0 days 00:01:00.638000,M_26,male,34,1991,sp,unknown,2.556,-4.953,-0.834,1.340,1.603,1.631,scared
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:00.962000,0 days 00:01:03.262000,M_26,male,34,1991,sp,unknown,2.3,-5.050,-1.566,1.662,2.500,1.539,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:18.306000,0 days 00:01:21.278000,M_26,male,34,1991,sp,unknown,2.972,-3.456,0.274,2.888,-0.707,-0.255,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:27.746000,0 days 00:01:29.822000,M_26,male,34,1991,sp,unknown,2.076,-4.366,-2.730,3.263,4.427,-0.659,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:37.250000,0 days 00:01:40.382000,M_26,male,34,1991,sp,unknown,3.132,-4.586,-1.759,2.922,2.838,0.044,neutral
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:41.474000,0 days 00:01:43.678000,M_26,male,34,1991,sp,unknown,2.204,-5.596,-2.746,3.028,4.909,0.164,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:01:44.802000,0 days 00:01:47.934000,M_26,male,34,1991,sp,unknown,3.132,-5.906,-2.508,3.935,4.484,-0.323,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:04.098000,0 days 00:02:06.334000,M_26,male,34,1991,sp,unknown,2.236,-5.418,-1.683,2.575,3.203,0.604,sad
./experiments/essv26_emotionalportrayal/data/./german/G_1991_M_26/G_1991_M_26_sp.wav,0 days 00:02:11.330000,0 days 00:02:13.662000,M_26,male,34,1991,sp,unknown,2.332,-5.495,-1.315,2.343,2.249,1.218,neutral
